,shared_word,version a name,version a count,version b name,version b count
0,pilistiim,london,11,breslau,2
1,deinde,london,9,breslau,10
2,quatuor,london,8,breslau,4
3,acconensi,london,6,breslau,1
4,magedo,london,6,breslau,1
5,musiuo,london,5,breslau,2
6,esecias,london,4,breslau,1
7,quot,london,3,breslau,2
8,suficient,london,3,breslau,1
9,gen,london,3,breslau,1
10,deut,london,3,breslau,1
11,meum,london,3,breslau,2
12,descensum,london,3,breslau,1
13,posita,london,3,breslau,1
14,subter,london,3,breslau,1
15,rapaim,london,3,breslau,1
16,cerubin,london,2,breslau,1
17,occidenti,london,2,breslau,1
18,austri,london,2,breslau,1
19,impetu,london,2,breslau,1
20,descendentes,london,2,breslau,1
21,celebraui,london,2,breslau,1
22,altissimo,london,2,breslau,1
23,grecis,london,2,breslau,1
24,monti,london,2,breslau,1
25,duorum,london,2,breslau,1
26,dispositus,london,2,breslau,1
27,hermoniim,london,2,breslau,1
28,maceronta,london,2,breslau,1
29,neapolis,london,2,breslau,1
30,pesec,london,2,breslau,3
31,hee,london,2,breslau,2
32,neccessarie,london,2,breslau,1
33,sennacerib,london,2,breslau,1
34,duplici,london,2,breslau,1
35,duabus,london,2,breslau,4
36,motu,london,2,breslau,1
37,betsam,london,2,breslau,1
38,ackaron,london,2,breslau,3
39,iudicatum,london,1,breslau,1
40,emitentes,london,1,breslau,1
41,deserentem,london,1,breslau,1
42,transuolantem,london,1,breslau,1
43,consecrauit,london,1,breslau,2
44,surianis,london,1,breslau,1
45,querebam,london,1,breslau,1
46,interrogans,london,1,breslau,1
47,legentibus,london,1,breslau,1
48,lineas,london,1,breslau,1
49,metropolim,london,1,breslau,1
50,regalis,london,1,breslau,1
51,plurima,london,1,breslau,1
52,directam,london,1,breslau,2
53,penitia,london,1,breslau,2
54,arcis,london,1,breslau,1
55,lamperti,london,1,breslau,1
56,impelunt,london,1,breslau,1
57,contiguam,london,1,breslau,1
58,te,london,1,breslau,1
59,portauit,london,1,breslau,1
60,demetrium,london,1,breslau,1
61,australem,london,1,breslau,2
62,crederentur,london,1,breslau,1
63,uii,london,1,breslau,6
64,ceperunt,london,1,breslau,1
65,paneas,london,1,breslau,1
66,masrepa,london,1,breslau,1
67,amorreos,london,1,breslau,1
68,manasses,london,1,breslau,1
69,iahel,london,1,breslau,1
70,fugiciuorum,london,1,breslau,1
71,circumdatus,london,1,breslau,1
72,impletum,london,1,breslau,1
73,ulteriori,london,1,breslau,1
74,declinare,london,1,breslau,1
75,tetraca,london,1,breslau,1
76,penitiam,london,1,breslau,3
77,separatus,london,1,breslau,1
78,transiuisset,london,1,breslau,2
79,eleuans,london,1,breslau,1
80,succedit,london,1,breslau,1
81,triclinium,london,1,breslau,1
82,modicam,london,1,breslau,1
83,trium,london,1,breslau,3
84,melcisedet,london,1,breslau,1
85,dixeritis,london,1,breslau,1
86,interfectionis,london,1,breslau,1
87,sunamitis,london,1,breslau,2
88,calefecit,london,1,breslau,1
89,gedeon,london,1,breslau,1
90,petrosi,london,1,breslau,1
91,muratum,london,1,breslau,1
92,principalis,london,1,breslau,1
93,propetam,london,1,breslau,1
94,propetas,london,1,breslau,2
95,pugilis,london,1,breslau,1
96,uenalium,london,1,breslau,1
97,requirit,london,1,breslau,1
98,ieroboam,london,1,breslau,1
99,dux,london,1,breslau,1
100,audita,london,1,breslau,1
101,nobo,london,1,breslau,1
102,centum,london,1,breslau,2
103,baptisatus,london,1,breslau,1
104,lerico,london,1,breslau,1
105,uermes,london,1,breslau,1
106,tenebrosum,london,1,breslau,1
107,inutilis,london,1,breslau,1
108,persequitur,london,1,breslau,1
109,priusquam,london,1,breslau,3
110,possint,london,1,breslau,1
111,temporibus,london,1,breslau,1
112,cisternam,london,1,breslau,1
113,capciuitatis,london,1,breslau,1
114,transeamus,london,1,breslau,1
115,aquilonaris,london,1,breslau,3
116,coniungebatur,london,1,breslau,1
117,dimissiora,london,1,breslau,1
118,is,london,1,breslau,2
119,orientalibus,london,1,breslau,1
120,capilorum,london,1,breslau,1
121,impressionem,london,1,breslau,1
122,gute,london,1,breslau,1
123,genuum,london,1,breslau,1
124,golgotana,london,1,breslau,1
125,ix,london,1,breslau,1
126,passione,london,1,breslau,2
127,caipe,london,1,breslau,1
128,impleta,london,1,breslau,1
129,octo,london,1,breslau,1
130,patebit,london,1,breslau,1
131,oppositus,london,1,breslau,1
132,dextra,london,1,breslau,1
133,respiciens,london,1,breslau,2
134,ioas,london,1,breslau,1
135,testudinem,london,1,breslau,2
136,sumitate,london,1,breslau,1
137,transeunt,london,1,breslau,1
138,gehennon,london,1,breslau,2
139,deficit,london,1,breslau,1
140,agnitus,london,1,breslau,1
141,solent,london,1,breslau,1
142,racelis,london,1,breslau,1
143,artificibus,london,1,breslau,1
144,disparuit,london,1,breslau,1
145,innocentum,london,1,breslau,1
146,eustocium,london,1,breslau,1
147,colendi,london,1,breslau,1
148,sur,london,1,breslau,2
149,nata,london,1,breslau,1
150,literarum,london,1,breslau,1
151,cenes,london,1,breslau,1
152,ueneratione,london,1,breslau,2
153,inquit,london,1,breslau,1
154,nouam,london,1,breslau,1
155,ramatam,london,1,breslau,1
156,giblin,london,1,breslau,1
